time,x0
0,293.15
3600,293.0642473592634
7200,292.9846890330819
10800,292.89981103774966
14400,292.81298134383394
18000,292.71485931229
21600,293.014161138441
25200,293.5146218203954
28800,293.81996792242666
32400,293.8930605100231
36000,293.99639395173244
39600,294.0271382186485
43200,294.06965359181675
46800,294.09490520675354
50400,294.0611190837086
54000,294.0674405813854
57600,293.9788815876329
61200,293.9080047218162
64800,293.81672765566003
68400,293.71605818364986
72000,293.6271868262944
75600,293.529352745014
79200,293.41763321431523
82800,293.3065488844184
86400,293.1989428328209
90000,293.08285304657846
93600,292.96742502814544
97200,292.8526492929696
100800,292.60555586753594
104400,292.3842041127215
108000,292.1931593222474
111600,292.23062760956986
115200,293.0954816145049
118800,293.13050401250837
122400,293.3083909480784
126000,293.6231992553202
129600,293.70714001462653
133200,293.9158050879293
136800,294.13938743026
140400,294.2870299050687
144000,294.3538151256447
147600,294.34980568782805
151200,294.2755624962404
154800,294.1897165957059
158400,294.09355035027687
162000,293.9950806852354
165600,293.89432501621087
169200,293.79415864137343
172800,293.69911545778666
176400,293.59721849940485
180000,293.4930618081204
183600,293.5286267744089
187200,293.56586087323416
190800,293.62866517627623
194400,293.6972575056649
198000,293.8255574642616
201600,293.9748164809387
205200,294.1119605152628
208800,294.46232960221346
212400,294.80303596669415
216000,295.126860382125
219600,295.42841523310386
223200,295.3101326129069
226800,295.24231782005097
230400,295.31630334899694
234000,295.339103127732
237600,295.29296715309783
241200,295.2229433937717
244800,295.1720110648411
248400,295.1138980267294
252000,295.0557672880609
255600,295.0332071863565
259200,294.94935414643976
