time,T,qr,vetot
0,20.0,-0.02121370274439641,0.0
3600,19.91424680582918,-0.0004221542626473647,0.0
7200,19.834688304441443,-0.002606038331026465,0.0
10800,19.749875828310508,-2.301790703320145e-05,0.0
14400,19.66303852626629,0.001270306260545793,0.0
18000,19.612764150276917,-0.005840490338559183,0.0
21600,19.986466355525863,0.020847966801219864,0.0
25200,20.498660968432148,598.6292164288748,0.0
28800,20.552784017912643,-2.7347985925819333e-06,0.0
32400,20.703203070053746,-0.024784808465918382,0.0
36000,20.84704155668925,-0.027121340483408137,0.0
39600,20.87777576120328,-0.00039355575470398363,0.0
43200,20.920281930607075,0.034150955564246466,0.0
46800,20.945525896472645,-0.05914624163473744,0.0
50400,20.911728434881525,980.3878001190844,0.0
54000,20.951939319335906,0.0003722409202128185,0.0
57600,20.86318163155056,-0.0009602893510576719,0.0
61200,20.79211073210223,-6.24590193373651e-05,0.0
64800,20.70064007295315,6.262617349367538e-05,0.0
68400,20.599768360532266,-0.0009761850767829047,0.0
72000,20.51068289967941,-0.009947495647350736,0.0
75600,20.412641643457675,-0.00024441666057750666,0.0
79200,20.300733555851764,0.010081528089343848,0.0
82800,20.189462017604058,0.006787200819377831,0.0
86400,20.08166543005575,0.00043665046910916917,0.0
90000,19.965391717321552,0.00206295259067626,0.0
93600,19.84977827118115,-0.0014293018568410799,0.0
97200,19.734820722974348,-0.014937735735211496,0.0
100800,19.646104143724017,-0.0661026949351325,0.0
104400,19.557811472143726,-0.038210858428133626,0.0
108000,19.492002520690505,4238.474817080589,0.0
111600,20.136683938415388,3855.8753078428085,0.0
115200,21.26403245180552,-7.372866815070754e-06,0.0
118800,21.996342228565766,-2506.304534769779,0.0
122400,22.464340818844335,-4217.277063661738,0.0
126000,22.658633926527386,-4555.100197308395,0.0
129600,22.430296239940844,-3429.344434903219,0.0
133200,22.274774712587543,-2486.4829480270328,0.0
136800,22.195439269843064,-2129.4627567106522,0.0
140400,22.07565762563837,-439.879813997735,0.0
144000,22.083286750467323,-0.0329979816608929,0.0
147600,22.074278677482198,-0.0010260177198298894,0.0
151200,21.99507316725459,0.008459709668151686,0.0
154800,21.904243672327198,-0.0036828584503070787,0.0
158400,21.803169082473914,-0.00040304035555964246,0.0
162000,21.699830203926354,-5.331984159962337e-06,0.0
165600,21.594239535598604,0.002847916289081558,0.0
169200,21.48924868259735,0.0003191630049831362,0.0
172800,21.389285399567484,0.009416110149845287,0.0
176400,21.282620345520513,-0.006209196676403653,0.0
180000,21.17372043808109,-0.0005199161690446814,0.0
183600,21.06260096963041,0.007567724627608735,0.0
187200,20.951349260227573,0.002991149838255608,0.0
190800,20.844331093328663,0.012014586553035682,0.0
194400,20.750347869095435,-3.3378779065898915e-05,0.0
198000,20.726658712394112,566.3483046184773,0.0
201600,20.89792568667383,-5038.540427758701,0.0
205200,21.1493796676329,-6000.0,0.0
208800,21.49361807487287,-5999.999999999744,0.0
212400,21.828567019006584,-5999.999999999981,0.0
216000,22.146790244430463,-5999.999961591481,0.0
219600,22.443029418697904,-5527.445646564866,0.0
223200,21.97589738784859,-3585.994733949438,0.0
226800,21.678091088195345,-515.265591474027,0.0
230400,21.691435864324546,-0.011670284150563405,0.0
234000,21.71724728105795,7.350617921166155e-06,0.0
237600,21.674102815824426,-0.029756974756231288,0.0
241200,21.60695094361421,-0.008319008462170933,0.0
244800,21.53373627101456,-0.011738020125641187,0.0
248400,21.44532296212708,0.013150407743568288,0.0
252000,21.35420739701169,-0.0014280981968208331,0.0
255600,21.265091494951037,0.0054954598963015975,0.0
259200,21.166454304152694,0.0054954598963015975,0.0
