time,cair.T
0,293.15
3600,293.0674396568648
7200,292.99098209179994
10800,292.9274976462759
14400,292.86655088002124
18000,292.8426294691462
21600,293.23167695583845
25200,293.7843324760341
28800,293.96284140238197
32400,294.03580741511786
36000,294.1186664051972
39600,294.1483330521094
43200,294.18978249717514
46800,294.21416585460923
50400,294.1795881795446
54000,294.1318627568889
57600,294.0429712589558
61200,293.9715921470911
64800,293.8800173029585
68400,293.788429898821
72000,293.70971382062385
75600,293.620814794894
79200,293.51800613931357
82800,293.41576939491193
86400,293.3169292870713
90000,293.20977760609605
93600,293.1030432741178
97200,293.12500828698256
100800,293.17099899567336
104400,293.2064677544551
108000,293.24261205996106
111600,293.44670006726477
115200,294.24798519549734
118800,294.6507712585555
122400,295.08055757410494
126000,295.2685516232967
129600,295.3183345965823
133200,295.29404296727057
136800,295.30586586127873
140400,295.3417565945365
144000,295.40255204903406
147600,295.3925202285592
151200,295.3146545202161
154800,295.22746935588424
158400,295.1298290796604
162000,295.02985807658195
165600,294.92763897807635
169200,294.8259903034428
172800,294.72973344306365
176400,294.6266705237408
180000,294.52134175818884
183600,294.4186942314072
187200,294.3124667427989
190800,294.2063750808824
194400,294.1051306255703
198000,294.0665170704519
201600,294.15429535930826
205200,294.55107809610087
208800,295.01248768365434
212400,295.3803269809356
216000,295.6857300593247
219600,295.96980256190466
223200,295.53592975804526
226800,295.2669823120945
230400,295.21597961197546
234000,295.2394029104523
237600,295.19379834629353
241200,295.12414794225435
244800,295.04875722167884
248400,294.95831663227176
252000,294.8650875207124
255600,294.77365736152046
259200,294.67294695886983
