time,vpos
0,-0.0003535617124066068
3600,-3.445793234452358e-06
7200,5.770526226832594e-05
10800,-1.4297463162637423e-05
14400,3.76954986125631e-05
18000,-0.00021391879162477355
21600,35.679362332040235
25200,22.958866555678238
28800,-3.782366710854586e-06
32400,-0.0002116181394190785
36000,9.830949144169671e-05
39600,-0.00037350238994563183
43200,-4.976143919291972e-08
46800,-0.0003759964896477892
50400,0.00011183244841631024
54000,-0.0004928079751296263
57600,0.00019404130751727965
61200,-5.731858002249059e-05
64800,-2.0623257678177822e-05
68400,-0.0007968072233879538
72000,-2.6740448782641452e-05
75600,-6.0849774716964435e-05
79200,-0.00047860994660693104
82800,2.0887640878542082e-07
86400,1.2926579878774953e-06
90000,3.1057475093309587e-06
93600,-2.7714505191009488e-06
97200,-4.649624713604546e-05
100800,-9.55124159749451e-06
104400,-3.5885143002216734e-06
108000,-0.0002292180015694826
111600,16.30448307738172
115200,-15.741897104196125
118800,-34.54738963853373
122400,-48.19519705304969
126000,-40.3753067900613
129600,-50.642044087888905
133200,-47.70227011754705
136800,-31.23475976760421
140400,-5.326861171162888
144000,-6.614051520568988e-05
147600,0.00011652097111942446
151200,-1.5482145478260242e-06
154800,0.00022107722650784587
158400,0.00016483490925879888
162000,-6.7977238588420914e-06
165600,0.00011918407998274428
169200,-7.663901723848785e-06
172800,0.00012494257344381293
176400,-0.0004726882713172476
180000,-5.9245353569602005e-08
183600,0.0002640836187182365
187200,-1.6217533647301137e-05
190800,-7.438801991112523e-05
194400,40.430207594325026
198000,33.21227018766863
201600,-6.947603001487746
205200,-73.5813521570988
208800,-93.53681439273481
212400,-100.0
216000,-99.99999999963734
219600,-92.43747069766665
223200,-51.19915758134962
226800,-10.87392653712546
230400,-8.988120169866885e-06
234000,-3.3218959519607926e-08
237600,-0.0006328102388489353
241200,7.269929583660293e-05
244800,5.546679009428129e-08
248400,-4.809115129222827e-06
252000,0.0005888193553020354
255600,-3.302088749079622e-05
259200,-3.302088749079622e-05
