time,cair.T
0,293.15
3600,293.0642492940316
7200,292.984690813536
10800,292.8998997674833
14400,292.81302616158507
18000,292.7627506355388
21600,293.1995839636031
25200,293.92273150470635
28800,294.1726879370989
32400,294.33929179218006
36000,294.48242139691837
39600,294.50897484658
43200,294.54751890931897
46800,294.5690882170874
50400,294.53214644846116
54000,294.44971732515774
57600,294.3589864406112
61200,294.2859534402819
64800,294.19253056011667
68400,294.0896418892086
72000,293.99840649147075
75600,293.8982953620585
79200,293.784481793624
82800,293.67131394359404
86400,293.56160324653354
90000,293.44345644744277
93600,293.3259781205823
97200,293.2973849839793
100800,293.29942000659105
104400,293.3012946673203
108000,293.3306333706258
111600,293.6051279042521
115200,294.34303778011287
118800,294.6294186267043
122400,294.9216530434826
126000,295.12909423592043
129600,294.9676777828487
133200,294.76607666572573
136800,294.6935919562568
140400,294.74375375449824
144000,294.80794567077186
147600,294.8013564716609
151200,294.72455180234664
154800,294.6361321944746
158400,294.5374316577621
162000,294.4364529457577
165600,294.33320732501096
169200,294.2305515538626
172800,294.13296880422575
176400,294.02860886808185
180000,293.9220037045429
183600,293.8132083607449
187200,293.5491806522295
190800,293.3437487801738
194400,293.12732092477967
198000,292.95137164999437
201600,292.818776439605
205200,292.98802937531644
208800,293.37516345380766
212400,293.7503964068637
216000,294.10781054614665
219600,294.4867923660858
223200,294.40068518419565
226800,294.5455225067471
230400,294.6235599587309
234000,294.65075372927237
237600,294.60898279161063
241200,294.54315253586753
244800,294.4712630185181
248400,294.3840595905743
252000,294.2941446765337
255600,294.2062725835452
259200,294.10881957452614
