time,x0
0,293.15
3600,293.06734904107077
7200,292.9908930512995
10800,293.1449624556826
14400,293.2997819858353
18000,293.4899260806508
21600,294.0867544807322
25200,294.60155783533304
28800,294.5765511026386
32400,294.71822498958437
36000,294.8550338898185
39600,294.87838830477864
43200,294.9139110814184
46800,294.93276369045793
50400,294.8934128594234
54000,294.8088320488473
57600,294.7160943211287
61200,294.6410204378259
64800,294.5455502232258
68400,294.449847224882
72000,294.3656625028773
75600,294.2727029965271
79200,294.1662397003354
82800,294.0603538462976
86400,293.9578977587699
90000,293.8469541423004
93600,293.73649281072824
97200,293.6267294341206
100800,293.4007103129159
104400,293.1246973383516
108000,292.9185061787391
111600,293.0611734382545
115200,293.92471306515006
118800,294.10304412724525
122400,294.3738364304816
126000,294.68050251217835
129600,294.85736924165
133200,295.0939092946739
136800,294.997590313006
140400,295.1403515760231
144000,295.20224595895877
147600,295.19340934052207
151200,295.1167406250605
154800,295.0307700991915
158400,294.9342781793563
162000,294.83550069829766
165600,294.73445293711427
169200,294.6339400781788
172800,294.53847866241125
176400,294.43643294348976
180000,294.3323093696657
183600,294.2259212539739
187200,294.0531060556649
190800,293.8999410466081
194400,293.74688607690945
198000,293.6287075970002
201600,293.59266077071607
205200,293.740419143357
208800,294.1029417434798
212400,294.45506166854796
216000,294.7899899603043
219600,295.10208266336673
223200,294.9921381392647
226800,295.10978695877384
230400,295.1463851915176
234000,295.17018081967234
237600,295.1254757457635
241200,295.0564365823852
244800,295.2944431817239
248400,295.46727841842005
252000,295.3530853873678
255600,295.3112789223568
259200,295.1910472151042
