time,T,Qr,vetot
0,20.0,0.0,0.0
3600,19.91738881732624,0.0,0.0
7200,19.84092410371653,0.0,0.0
10800,19.75920998483332,0.0,0.0
14400,19.675635810907295,0.0,0.0
18000,19.85439132713907,0.0,0.0
21600,20.470848689588877,0.0,0.0
25200,21.130486178501087,0.0,0.0
28800,21.094962901240308,0.0,0.0
32400,21.19275505835276,0.0,0.0
36000,21.332415763780034,0.0,0.0
39600,21.35896161906726,0.0,0.0
43200,21.39754474653597,0.0,0.0
46800,21.419089654021207,0.0,0.0
50400,21.38215187322146,0.0,0.0
54000,21.299725263561356,0.0,0.0
57600,21.209053158615063,0.0,0.0
61200,21.135957391933346,0.0,0.0
64800,21.042547378151482,0.0,0.0
68400,20.949004470502643,0.0,0.0
72000,20.86708074196082,0.0,0.0
75600,20.77626008791134,0.0,0.0
79200,20.67171691567654,0.0,0.0
82800,20.567674121658968,0.0,0.0
86400,20.467122346491124,0.0,0.0
90000,20.35807617581412,0.0,0.0
93600,20.249554828633677,0.0,0.0
97200,20.141479357799938,0.0,0.0
100800,20.059343607455332,0.0,0.0
104400,19.977894196907357,0.0,0.0
108000,19.78109781233138,0.0,0.0
111600,19.819558972738434,0.0,0.0
115200,20.702191925733928,0.0,0.0
118800,20.88989211787009,0.0,0.0
122400,21.170231452794553,0.0,0.0
126000,21.531052570410054,0.0,0.0
129600,21.614323722973438,0.0,0.0
133200,21.77365729215552,0.0,0.0
136800,21.737291767099236,0.0,0.0
140400,21.88068763490736,0.0,0.0
144000,21.94339895155349,0.0,0.0
147600,21.935302271124897,0.0,0.0
151200,21.859122439298858,0.0,0.0
154800,21.77391004890677,0.0,0.0
158400,21.678314290660182,0.0,0.0
162000,21.58027289753676,0.0,0.0
165600,21.480161527775124,0.0,0.0
169200,21.380824962021734,0.0,0.0
172800,21.286319867408963,0.0,0.0
176400,21.185028404859793,0.0,0.0
180000,21.081422847164674,0.0,0.0
183600,20.97562675353771,0.0,0.0
187200,20.869787217615226,0.0,0.0
190800,20.862681005959757,0.0,0.0
194400,20.851038852747024,0.0,0.0
198000,20.887668865793557,0.0,0.0
201600,20.955974062180132,0.0,0.0
205200,21.37348936908336,0.0,0.0
208800,21.887426803625374,0.0,0.0
212400,22.289755645043556,0.0,0.0
216000,22.593262356734954,0.0,0.0
219600,22.87553515590804,0.0,0.0
223200,22.658517795439252,0.0,0.0
226800,22.538537188372686,0.0,0.0
230400,22.561844859855682,0.0,0.0
234000,22.582028885975035,0.0,0.0
237600,22.533486723637225,0.0,0.0
241200,22.460935666780415,0.0,0.0
244800,22.38226518937438,0.0,0.0
248400,22.28915115961979,0.0,0.0
252000,22.19334975259636,3122.9882303129034,0.0
255600,22.099392423798463,6600.1288554569355,0.0
259200,21.996095707676034,8878.503731915987,0.0
