time,vpos
0,-0.001410866230399334
3600,-2.6660008697424354e-07
7200,-3.454744722293664e-05
10800,0.0008777905548549042
14400,-0.0021198936393092825
18000,0.014917082162906293
21600,11.76864822610848
25200,35.414292490110924
28800,-3.5654710358697708
32400,-2.494567706155977e-06
36000,-1.77672602551307e-05
39600,-1.2991660710366584e-05
43200,4.5261426814325635e-05
46800,0.004442568697177704
50400,3.4012953902582126
54000,2.19311601813897
57600,-3.6742947547855874e-06
61200,8.825627779406324e-05
64800,2.8420750450970835e-07
68400,1.8959380140936225e-05
72000,-2.195452807716319e-06
75600,5.36964819833718e-07
79200,-2.0541402982894428e-05
82800,0.00012212017003097278
86400,-5.8084615306854914e-05
90000,1.773785154058479e-06
93600,-0.0023097330356766916
97200,-5.26947947872202
100800,-2.8990352144165454
104400,6.46401803985015
108000,16.880763764411935
111600,31.597114204178606
115200,-61.606390896181814
118800,-58.309982549674665
122400,-51.54587296427078
126000,-39.05711323204138
129600,-28.265749204923797
133200,-35.033397612765654
136800,1.3617126378070445e-08
140400,-7.376117200670737e-05
144000,0.0021970301455813764
147600,-1.290460323961224e-06
151200,4.235970351656246e-07
154800,0.0015733888566446396
158400,-0.00013428193703198454
162000,-0.00026166251180521265
165600,-8.690147256251115e-08
169200,1.3560092295898421e-05
172800,1.8224565288523978e-05
176400,8.692087911615363e-06
180000,2.3471071100985105e-05
183600,-4.10595157705282e-05
187200,-2.1175618129755582
190800,-1.0289520226427136
194400,-2.1321343269925244
198000,-7.311450391152221
201600,-99.99999926296942
205200,-99.99999935174883
208800,-99.99999983560254
212400,-99.99999999999176
216000,-99.9999999435095
219600,-50.90902622125887
223200,-28.125225337563855
226800,-23.6718245257089
230400,-1.899054166035972e-05
234000,-1.6111469117126801e-06
237600,0.0013308591979616438
241200,-0.0006612415171050525
244800,-0.0008885763807516398
248400,-0.0007820635541235182
252000,-0.001385221646626092
255600,-0.0013273678887594416
259200,-0.0003325083481155084
