time,cair.T
0,293.15
3600,293.0673438933845
7200,292.99086979427705
10800,292.9090649730414
14400,292.8252647349957
18000,292.77800910561757
21600,293.15141816494105
25200,293.7562114494532
28800,294.03772890132944
32400,294.1847401680046
36000,294.27358585136386
39600,294.3019394775594
43200,294.34223850743075
46800,294.36555274405526
50400,294.32994994116683
54000,294.24866920879225
57600,294.15907847794006
61200,294.08745868671946
64800,293.99516290222715
68400,293.9028374547361
72000,293.822177644538
75600,293.7327002820619
79200,293.6292266127599
82800,293.5263334304109
86400,293.42685788633645
90000,293.3189508814942
93600,293.2115905086231
97200,293.1048322327212
100800,293.0241615035977
104400,292.94352505663704
108000,292.8762502724703
111600,293.4912689614921
115200,294.5405822619046
118800,295.1128392135135
122400,295.48408009193275
126000,295.7987316070079
129600,295.6125343597949
133200,295.4367483363064
136800,295.3735110277238
140400,295.3503242510016
144000,295.4110711655583
147600,295.4010578355188
151200,295.3232458200319
154800,295.23618766627243
158400,295.13854682803316
162000,295.038949538223
165600,294.9372038593991
169200,294.83591109514987
172800,294.7395963774495
176400,294.6365869147741
180000,294.53135956180677
183600,294.42385528238265
187200,294.31633332628667
190800,294.212888232242
194400,294.11766272245
198000,294.0926682933469
201600,294.19325347911183
205200,294.5814557603156
208800,294.91646715859036
212400,295.24275084248256
216000,295.55254397087367
219600,295.84078274992595
223200,295.31434345719975
226800,294.8678869816435
230400,294.56155755887295
234000,294.5891460116842
237600,294.54776585166024
241200,294.4823168556501
244800,294.41080581985756
248400,294.32397397147554
252000,294.23439721802504
255600,294.1468774918219
259200,294.0497622774899
