time,vpos
0,-0.001010496078502482
3600,-2.3540070739035135e-07
7200,-0.00810543512318046
10800,-0.0017165853622161213
14400,1.985755836240305e-06
18000,0.0008039793754528518
21600,12.763895374413748
25200,41.051639229113306
28800,-0.0001074424565284185
32400,-7.117316390557911
36000,7.953728849152686e-07
39600,0.006785181828011799
43200,0.02254045958208946
46800,-0.0021046981151433795
50400,-0.00015827600993715456
54000,-1.2386779139070617e-06
57600,0.03802870316302609
61200,-1.7983178010952394e-08
64800,1.9204799114880267e-05
68400,-2.1470463800951634e-06
72000,0.021179828705023516
75600,1.0501575050531065e-06
79200,-0.0009445606819169852
82800,-1.4936040603104328e-07
86400,0.010226828738744281
90000,0.0012438421135627271
93600,0.00023550270537426015
97200,0.009627708924708073
100800,-0.041102454578146194
104400,0.003393267533047077
108000,66.89758763120491
111600,54.19176674455374
115200,-21.590771793375495
118800,-55.16644897248436
122400,-54.13283638211204
126000,-70.18427360031782
129600,-59.89086617007824
133200,-39.239502717206435
136800,-22.312970841026807
140400,-0.0002124915857871796
144000,-3.459936908159489e-07
147600,-4.5852776501924264e-08
151200,-1.1898054837373995e-07
154800,-0.04463715836745541
158400,3.4624368055322095e-06
162000,0.01698374928107843
165600,2.0211610232689914e-06
169200,-9.118058984236566e-06
172800,-8.688870241357893e-07
176400,0.004877380524130766
180000,-1.1052307289857732e-08
183600,0.02047804871915587
187200,-2.0302112230946578e-07
190800,-8.045020638558498e-06
194400,-0.009751515524938003
198000,0.004707573064484188
201600,-64.58449129436886
205200,-100.0
208800,-99.99999999989055
212400,-99.99999999991226
216000,-100.0
219600,-100.0
223200,-79.86725628585107
226800,-52.099307903704315
230400,-1.7144195913615379e-06
234000,-2.2090472742420224e-06
237600,0.0006072451089705823
241200,-5.884682293538779e-07
244800,0.0037554950181184466
248400,-4.6989657835356385e-08
252000,0.00017032521072279233
255600,-1.937772893534362e-06
259200,-1.937772893534362e-06
