time,x0
0,293.15
3600,293.06424680582916
7200,292.9846883433537
10800,292.8998763581216
14400,292.813035793089
18000,292.7627613547363
21600,293.1364541839342
25200,294.00294286472615
28800,294.1862158633876
32400,294.3317175597778
36000,294.4715013152741
39600,294.49814900168394
43200,294.53677659520736
46800,294.5584298494357
50400,294.52155639057116
54000,294.4391899572521
57600,294.3485150745747
61200,294.27554104005515
64800,294.1821764588497
68400,294.0793491520612
72000,293.9881718238072
75600,293.88812562380184
79200,293.7743697531588
82800,293.6612597238208
86400,293.55160550579836
90000,293.4335199231445
93600,293.31610169124144
97200,293.1993478945232
100800,293.10859964151973
104400,293.01833289850936
108000,292.95055539417257
111600,293.29743201280104
115200,294.18181004790506
118800,294.5893291887004
122400,294.806157732997
126000,295.04960715428484
129600,295.0526500690728
133200,295.08645902855324
136800,295.12831404370525
140400,295.13862520196056
144000,295.1575984479603
147600,295.1490216366853
151200,295.07024303286477
154800,294.97984206355136
158400,294.8791905377721
162000,294.776273179738
165600,294.671101099688
169200,294.5665240144643
172800,294.46698406469073
176400,294.3607252269988
180000,294.2522372002174
183600,294.14152156923336
187200,294.03067716033394
190800,293.9240614921288
194400,293.8304746244035
198000,293.80998644613254
201600,294.0475877357104
205200,294.61625725777077
208800,294.950130262136
212400,295.2753448619711
216000,295.78902854677597
219600,296.0698697053833
223200,295.54205091085674
226800,295.18117162584895
230400,295.0970743414651
234000,295.1212654016444
237600,295.0765085400233
241200,295.0078161572743
244800,294.933047130419
248400,294.8432154199872
252000,294.7506900377813
255600,294.66011746651054
259200,294.56542823593367
