time,cair.T
0,293.15
3600,293.06737799636863
7200,292.9908231771852
10800,292.9090789259673
14400,292.82529200207466
18000,292.77815828468056
21600,293.15153823118374
25200,293.66337933533083
28800,293.8972961853091
32400,294.04574762958055
36000,294.18792912336596
39600,294.21709726864816
43200,294.2580102045508
46800,294.2817806038763
50400,294.2468269614838
54000,294.16601951470875
57600,294.09339426434275
61200,294.02183363720366
64800,293.9299348116186
68400,293.8379992892225
72000,293.7577577285045
75600,293.6685401644496
79200,293.5654483988447
82800,293.46294391113656
86400,293.36385355599805
90000,293.2562424968936
93600,293.14924192296917
97200,293.0428485787221
100800,292.96262047868777
104400,292.9702807053147
108000,293.00299819309777
111600,293.2423509623545
115200,294.09247135385164
118800,294.4005523721793
122400,294.7570187088752
126000,295.06346659026957
129600,295.07275568903407
133200,295.13663242343546
136800,295.130850998197
140400,295.1708672840865
144000,295.23270013556265
147600,295.2237401045906
151200,295.14683679700715
154800,295.0607720185492
158400,294.9645380067644
162000,294.8660184213047
165600,294.76514404605336
169200,294.66473740432156
172800,294.56927064164717
176400,294.4673680961842
180000,294.363010707911
183600,294.2564811100885
187200,294.1497910925206
190800,294.05353106705246
194400,293.9695837895386
198000,293.950486555703
201600,294.00617461787726
205200,294.14244768303104
208800,294.49181950224363
212400,294.8315893165317
216000,295.15450259548015
219600,295.4551927531758
223200,295.2731139840292
226800,295.1185915633655
230400,294.9301110770175
234000,294.95552690183723
237600,294.91177012707334
241200,294.84412927335046
244800,294.7704688390921
248400,294.6815675362164
252000,294.58992660146185
255600,294.50029307057844
259200,294.4011538129425
