time,T,Qr,vetot
0,20.0,0.0,0.0
3600,19.917406069634524,0.0,0.0
7200,19.840941422431513,0.0,0.0
10800,19.759281675019054,0.0,0.0
14400,19.675502332836174,0.0,0.0
18000,19.748799290776162,0.0,0.0
21600,20.245863172848374,0.0,0.0
25200,20.885421787919597,0.0,0.0
28800,20.985876261150906,0.0,0.0
32400,21.131898246246465,0.0,0.0
36000,21.27224509640763,0.0,0.0
39600,21.299409494263443,0.0,0.0
43200,21.338417334239693,0.0,0.0
46800,21.36049007374254,0.0,0.0
50400,21.323933808583263,0.0,0.0
54000,21.241838010582228,0.0,0.0
57600,21.15144125335371,0.0,0.0
61200,21.07875222378749,0.0,0.0
64800,20.98567837129832,0.0,0.0
68400,20.89255067491058,0.0,0.0
72000,20.811034559063728,0.0,0.0
75600,20.720578088871832,0.0,0.0
79200,20.616347002575708,0.0,0.0
82800,20.512704783662684,0.0,0.0
86400,20.41246330317574,0.0,0.0
90000,20.30372954225902,0.0,0.0
93600,20.1956577451121,0.0,0.0
97200,20.08815062280621,0.0,0.0
100800,20.006549600813514,0.0,0.0
104400,20.05652511070474,0.0,0.0
108000,20.113363309268266,0.0,0.0
111600,20.346948206882814,0.0,0.0
115200,21.042526971649806,0.0,0.0
118800,21.39568241277459,0.0,0.0
122400,21.739449369335546,0.0,0.0
126000,21.968326831320667,0.0,0.0
129600,21.991168957610114,0.0,0.0
133200,21.961790208903892,0.0,0.0
136800,21.997605951432945,0.0,0.0
140400,21.98190827178871,0.0,0.0
144000,21.953035992812772,0.0,0.0
147600,21.94481499744228,0.0,0.0
151200,21.86861168291142,0.0,0.0
154800,21.783198809998282,0.0,0.0
158400,21.687937434680748,0.0,0.0
162000,21.59001772259728,0.0,0.0
165600,21.48990935588904,0.0,0.0
169200,21.390202883796974,0.0,0.0
172800,21.295820745464482,0.0,0.0
176400,21.1944878673541,0.0,0.0
180000,21.09089238961633,0.0,0.0
183600,20.985027949334153,0.0,0.0
187200,20.879044514799432,0.0,0.0
190800,20.778848965623695,0.0,0.0
194400,20.708953995705144,0.0,0.0
198000,20.739649073089254,0.0,0.0
201600,20.963644592832907,0.0,0.0
205200,21.16857817029677,0.0,0.0
208800,21.512188574035065,0.0,0.0
212400,21.846547749985064,0.0,0.0
216000,22.164197210839518,0.0,0.0
219600,22.4598918624244,0.0,0.0
223200,22.241759992119285,0.0,0.0
226800,22.12081602895711,0.0,0.0
230400,22.179391343813336,0.0,0.0
234000,22.202225654010874,0.0,0.0
237600,22.155966221819938,0.0,0.0
241200,22.085846081425416,0.0,0.0
244800,22.009826701781947,0.0,0.0
248400,21.9187375992517,0.0,0.0
252000,21.824932842771716,0.0023209712651795287,0.0
255600,21.733034867475737,0.01672623758091505,0.0
259200,21.631740499510897,0.02489335540669526,0.0
