time,cair.T
0,293.15
3600,293.0673867054909
7200,292.99096013554424
10800,292.9707105448298
14400,292.9525533894137
18000,292.9742151132271
21600,293.41400530506513
25200,293.9690757334923
28800,294.07672704618307
32400,294.2234969816526
36000,294.3642493805824
39600,294.3916595550058
43200,294.4311413199373
46800,294.4536687275224
50400,294.41748834177537
54000,294.3358135377459
57600,294.2457735123646
61200,294.1734833924295
64800,294.0807864699483
68400,293.9880188453326
72000,293.90687229638974
75600,293.81677404603727
79200,293.71286405316783
82800,293.6095329650228
86400,293.5095922844347
90000,293.40114236227964
93600,293.293307251619
97200,293.3488257055773
100800,293.42802899669414
104400,293.49640107847654
108000,293.5646497485286
111600,293.7977245829097
115200,294.391764175938
118800,294.83799545770444
122400,295.2065885722963
126000,295.4742719734589
129600,295.36935746368107
133200,295.27619760400137
136800,295.2458467085523
140400,295.22750478586613
144000,295.2889209457429
147600,295.2795200382613
151200,295.2022529885524
154800,295.1156101362998
158400,295.0186454568005
162000,294.91937851400036
165600,294.8178386405058
169200,294.7168574386731
172800,294.62086166447824
176400,294.518271305863
180000,294.41357231841465
183600,294.3067373798625
187200,294.1997454206429
190800,294.06600636292336
194400,293.95460486401123
198000,293.9307175492192
201600,294.03195507410334
205200,294.1675120895555
208800,294.5160640253858
212400,294.85506387394565
216000,295.17722808055277
219600,295.4772073482831
223200,295.3248055677928
226800,295.2474105255467
230400,295.32140993090377
234000,295.34413048797626
237600,295.29787343910414
241200,295.2276790592647
244800,295.1515947335631
248400,295.06052223440776
252000,294.9667632050241
255600,294.87486988714784
259200,294.7735313875671
